longitude,latitude,ID,code
-63.618,44.6791,b'coarse',4.0
-63.6166,44.6811,b'fine',2.0
-63.6247,44.6791,b'fine',2.0
-63.6264,44.6799,b'medium',3.0
-63.6236,44.6844,b'fine',2.0
-63.6215,44.6823,b'fine',2.0
-63.6194,44.681,b'medium',3.0
-63.6181,44.6777,b'medium',3.0
-63.621,44.6791,b'coarse',4.0
-63.6222,44.6792,b'coarse',4.0
-63.6242,44.6783,b'fine',2.0
-63.6321,44.6816,b'fine',2.0
-63.6235,44.6876,b'very fine',1.0
-63.6231,44.6862,b'very fine',1.0
-63.6156,44.6801,b'coarse',4.0
-63.6169,44.6812,b'fine',2.0
-63.6235,44.6849,b'fine',2.0
-63.6178,44.6817,b'fine',2.0
-63.621,44.6802,b'medium',3.0
-63.6191,44.6837,b'very fine',1.0
-63.6229,44.6874,b'fine',2.0
-63.6195,44.6841,b'very fine',1.0
-63.6196,44.6845,b'very fine',1.0
-63.6277,44.6881,b'fine',2.0
-63.6332,44.6823,b'medium',3.0
